Date,J69U.SI,H15.SI,S41.SI,H17.SI,S68.SI,558.SI,B16.SI,EB5.SI,F99.SI,U10.SI,CC3.SI,C52.SI,5IG.SI,S51.SI,K71U.SI,S08.SI,U9E.SI,F34.SI,G41.SI,A7RU.SI
2009-12-27,1.3984500169754028,2.2100000381469727,3.1600000858306885,0.7250000238418579,8.279999732971191,0.1088000014424324,0.699999988079071,0.9549999833106995,4.199999809265137,1.5099999904632568,2.1500000953674316,1.6399999856948853,0.3149999976158142,3.700000047683716,1.0137100219726562,1.0099999904632568,0.5107100009918213,6.429999828338623,0.6299999952316284,0.559220016002655
2010-01-03,1.4284100532531738,2.4000000953674316,3.069999933242798,0.75,8.399999618530273,0.1120000034570694,0.7200000286102295,1.1200000047683716,4.409999847412109,1.600000023841858,2.130000114440918,1.6299999952316284,0.33500000834465027,3.7699999809265137,1.0966500043869019,1.0199999809265137,0.550000011920929,6.900000095367432,0.6499999761581421,0.587660014629364
2010-01-10,1.3984500169754028,2.430000066757202,3.0999999046325684,0.7450000047683716,8.34000015258789,0.11840000003576279,0.7649999856948853,1.2000000476837158,4.489999771118164,1.6200000047683716,2.1600000858306885,1.6299999952316284,0.3100000023841858,3.680000066757202,1.0966500043869019,1.0199999809265137,0.9035699963569641,7.110000133514404,0.6499999761581421,0.5924000144004822
2010-01-17,1.4284100532531738,2.200000047683716,3.059999942779541,0.7200000286102295,8.1899995803833,0.1120000034570694,0.7149999737739563,1.1200000047683716,4.28000020980835,1.600000023841858,2.1500000953674316,1.6399999856948853,0.2849999964237213,3.559999942779541,1.059790015220642,1.0499999523162842,0.9035699963569641,6.659999847412109,0.625,0.6066200137138367
2010-01-24,1.3385100364685059,2.049999952316284,3.009999990463257,0.6899999976158142,7.989999771118164,0.1088000014424324,0.6449999809265137,1.0800000429153442,4.159999847412109,1.5399999618530273,2.1700000762939453,1.590000033378601,0.2549999952316284,3.319999933242798,0.9768499732017517,1.0099999904632568,0.8642799854278564,6.590000152587891,0.6200000047683716,0.5829200148582458
2010-01-31,1.2885700464248657,1.9900000095367432,2.930000066757202,0.699999988079071,7.679999828338623,0.1088000014424324,0.6150000095367432,1.0199999809265137,3.8299999237060547,1.5199999809265137,2.130000114440918,1.5299999713897705,0.23000000417232513,3.369999885559082,0.9676300287246704,1.0299999713897705,0.6678599715232849,6.110000133514404,0.6000000238418579,0.5734400153160095
2010-02-07,1.328529953956604,2.069999933242798,2.950000047683716,0.7049999833106995,7.75,0.1088000014424324,0.6349999904632568,1.0399999618530273,4.019999980926514,1.559999942779541,2.0999999046325684,1.5399999618530273,0.23999999463558197,3.430000066757202,0.9860699772834778,1.0399999618530273,0.746429979801178,6.28000020980835,0.6050000190734863,0.5829200148582458
2010-02-14,1.3185399770736694,2.0399999618530273,2.930000066757202,0.7049999833106995,7.739999771118164,0.1088000014424324,0.6349999904632568,1.0299999713897705,3.990000009536743,1.5499999523162842,2.130000114440918,1.5499999523162842,0.24500000476837158,3.369999885559082,0.9768499732017517,1.0399999618530273,0.6678599715232849,6.389999866485596,0.6050000190734863,0.5781800150871277
2010-02-21,1.3485000133514404,1.9700000286102295,3.0,0.6600000262260437,7.710000038146973,0.1120000034570694,0.6349999904632568,1.0299999713897705,4.260000228881836,1.590000033378601,2.140000104904175,1.5499999523162842,0.24500000476837158,3.7100000381469727,0.9952800273895264,1.0499999523162842,0.6678599715232849,6.5,0.6299999952316284,0.5687000155448914
2010-02-28,1.3684799671173096,2.049999952316284,3.049999952316284,0.6349999904632568,7.599999904632568,0.12160000205039978,0.6449999809265137,1.1299999952316284,4.440000057220459,1.590000033378601,2.190000057220459,1.5399999618530273,0.2549999952316284,3.890000104904175,1.0229300260543823,1.059999942779541,0.7071400284767151,6.630000114440918,0.5950000286102295,0.587660014629364
2010-03-07,1.3385100364685059,2.1600000858306885,3.0799999237060547,0.6399999856948853,7.880000114440918,0.12160000205039978,0.6600000262260437,1.1799999475479126,4.480000019073486,1.600000023841858,2.200000047683716,1.5700000524520874,0.27000001072883606,4.039999961853027,1.0321400165557861,1.0700000524520874,0.7071400284767151,6.760000228881836,0.6299999952316284,0.5781800150871277
2010-03-14,1.3684799671173096,2.1700000762939453,3.069999933242798,0.6349999904632568,8.029999732971191,0.14079999923706055,0.699999988079071,1.1699999570846558,4.449999809265137,1.6399999856948853,2.2799999713897705,1.5700000524520874,0.2549999952316284,3.940000057220459,1.0137100219726562,1.090000033378601,0.746429979801178,6.599999904632568,0.6100000143051147,0.5971400141716003
2010-03-21,1.3485000133514404,2.2300000190734863,3.0399999618530273,0.6499999761581421,7.849999904632568,0.15360000729560852,0.6850000023841858,1.1399999856948853,4.659999847412109,1.690000057220459,2.2899999618530273,1.590000033378601,0.24500000476837158,4.079999923706055,1.0045000314712524,1.090000033378601,0.7071400284767151,6.599999904632568,0.6100000143051147,0.5829200148582458
2010-03-28,1.3385100364685059,2.299999952316284,3.0799999237060547,0.6449999809265137,7.739999771118164,0.15039999783039093,0.6899999976158142,1.1799999475479126,4.980000019073486,1.7000000476837158,2.359999895095825,1.559999942779541,0.2549999952316284,4.289999961853027,1.0045000314712524,1.0700000524520874,0.746429979801178,6.880000114440918,0.6150000095367432,0.5734400153160095
2010-04-04,1.3485000133514404,2.319999933242798,3.0999999046325684,0.6549999713897705,7.889999866485596,0.15039999783039093,0.7099999785423279,1.2100000381469727,4.900000095367432,1.75,2.3499999046325684,1.559999942779541,0.2849999964237213,4.25,1.0137100219726562,1.0700000524520874,0.824999988079071,6.889999866485596,0.6150000095367432,0.5829200148582458
