Date,3M Bill Rates,SGDAUD,S&PAUX200
25/05/2012,0.00281,1.250282,4029.25
1/06/2012,0.00281,1.249773,4063.88
8/06/2012,0.00281,1.269693,4063.69
15/06/2012,0.00269,1.279616,4057.33
22/06/2012,0.00269,1.283244,4048.21
29/06/2012,0.00281,1.298533,4094.63
6/07/2012,0.00269,1.299488,4157.81
13/07/2012,0.0026,1.292514,4082.25
20/07/2012,0.00239,1.304925,4199.12
27/07/2012,0.00231,1.303224,4209.77
3/08/2012,0.00231,1.311958,4221.48
10/08/2012,0.00239,1.314403,4277.3
17/08/2012,0.00249,1.307441,4370.1
24/08/2012,0.00252,1.299699,4348.99
31/08/2012,0.00252,1.289126,4316.11
7/09/2012,0.00252,1.283433,4325.84
14/09/2012,0.0026,1.289560,4389.96
21/09/2012,0.00292,1.280909,4408.29
28/09/2012,0.0029,1.275645,4387.02
5/10/2012,0.00289,1.256008,4494.38
12/10/2012,0.00269,1.249684,4486.58
19/10/2012,0.00242,1.262579,4571.08
26/10/2012,0.00231,1.265036,4472.38
2/11/2012,0.00239,1.268171,4460.05
9/11/2012,0.00239,1.270432,4462.02
16/11/2012,0.00239,1.266946,4336.85
23/11/2012,0.00231,1.276178,4413.01
30/11/2012,0.00252,1.273235,4506.04
7/12/2012,0.00242,1.280506,4551.76
14/12/2012,0.00239,1.286623,4583.11
21/12/2012,0.00231,1.272989,4623.58
28/12/2012,0.00231,1.269761,4671.3
4/01/2013,0.00242,1.285258,4723.78
11/01/2013,0.00252,1.292261,4709.49
18/01/2013,0.00231,1.288533,4771.23
25/01/2013,0.00239,1.288424,4835.17
1/02/2013,0.00252,1.289548,4921.1
8/02/2013,0.00261,1.277296,4971.3
15/02/2013,0.0026,1.275285,5033.92
22/02/2013,0.0026,1.275409,5018.14
1/03/2013,0.00252,1.265537,5086.13
8/03/2013,0.00252,1.276727,5123.44
15/03/2013,0.00252,1.299064,5120.24
22/03/2013,0.00252,1.304527,4967.26
29/03/2013,0.00252,1.293375,4966.5
5/04/2013,0.00242,1.286571,4891.43
12/04/2013,0.00239,1.298616,5013.54
19/04/2013,0.00242,1.273997,4931.91
26/04/2013,0.00239,1.271874,5097.51
3/05/2013,0.00242,1.271884,5129.5
10/05/2013,0.00241,1.238912,5206.09
17/05/2013,0.00239,1.223829,5180.77
24/05/2013,0.00239,1.223575,4983.5
31/05/2013,0.00251,1.212483,4926.57
7/06/2013,0.00252,1.180980,4737.7
14/06/2013,0.00251,1.203226,4791.76
21/06/2013,0.00252,1.175465,4738.8
28/06/2013,0.00268,1.160939,4802.59
5/07/2013,0.00259,1.161200,4841.75
12/07/2013,0.00259,1.144170,4973.89
19/07/2013,0.00259,1.163645,4972.09
26/07/2013,0.00259,1.167945,5042.03
2/08/2013,0.0028,1.132525,5116.76
9/08/2013,0.0029,1.157152,5055.21
16/08/2013,0.0028,1.167911,5113.86
23/08/2013,0.00291,1.154252,5123.36
30/08/2013,0.00278,1.137137,5134.96
6/09/2013,0.00291,1.170874,5144.99
13/09/2013,0.00291,1.173474,5219.63
20/09/2013,0.00291,1.174408,5276.69
